danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_genre
0.705,0.347,-8.249,0.0301,0.674,0.0,0.12,0.36,80.057,222146,64,acoustic
0.582,0.255,-10.254,0.0306,0.772,0.0,0.0889,0.285,139.884,181852,62,acoustic
0.549,0.274,-12.565,0.0379,0.798,6.63e-06,0.103,0.207,86.664,186584,58,acoustic
0.787,0.355,-11.429,0.0288,0.896,0.0201,0.111,0.48,99.978,159600,65,acoustic
0.397,0.303,-7.508,0.0435,0.381,0.0,0.101,0.172,81.05,250266,67,acoustic
0.548,0.42,-7.842,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,318908,65,acoustic
0.787,0.403,-11.989,0.033,0.603,0.00857,0.131,0.264,118.042,222351,44,acoustic
0.484,0.573,-6.183,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,219480,55,acoustic
0.382,0.416,-9.303,0.0302,0.0733,0.0,0.0719,0.125,102.089,221693,70,acoustic
0.541,0.575,-9.463,0.0491,0.677,0.215,0.102,0.428,91.98,354400,57,acoustic
0.607,0.473,-8.555,0.034,0.712,0.0,0.66,0.54,119.698,177500,56,acoustic
0.417,0.595,-7.84,0.0396,0.158,0.000269,0.101,0.117,147.928,247840,56,acoustic
0.572,0.454,-10.286,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216386,67,acoustic
0.709,0.913,-5.148,0.0748,0.0182,0.0,0.167,0.519,108.024,229320,62,acoustic
0.537,0.342,-13.553,0.0273,0.645,0.266,0.0687,0.253,109.236,330933,45,acoustic
0.602,0.336,-11.106,0.0369,0.883,0.0017,0.143,0.335,90.894,172213,64,acoustic
0.643,0.638,-4.947,0.0407,0.204,0.0,0.0707,0.6,82.001,226106,65,acoustic
0.451,0.7,-6.597,0.0431,0.455,0.00233,0.405,0.37,150.055,235173,0,acoustic
0.546,0.391,-10.786,0.063,0.784,2.72e-06,0.0552,0.202,139.669,195213,0,acoustic
0.561,0.327,-10.835,0.0327,0.902,0.000469,0.111,0.298,161.858,236306,68,acoustic
0.479,0.541,-9.862,0.0543,0.74,0.0,0.108,0.3,85.994,181400,0,acoustic
0.479,0.541,-9.862,0.0543,0.74,0.0,0.108,0.3,85.994,181400,0,acoustic
0.436,0.4,-11.485,0.0272,0.904,0.00105,0.125,0.351,100.734,164500,61,acoustic
0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,220573,70,acoustic
0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,85.262,257493,0,acoustic
0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,85.262,257493,0,acoustic
